gene	MM-ED-DNA-A-12-2023.reads.qc	MM-ED-DNA-A-4-2023.reads.qc	MM-ED-DNA-A-9-2022.reads.qc	MM-ED-DNA-O-12-2023.reads.qc	MM-ED-DNA-O-4-2023.reads.qc	MM-ED-DNA-O-9-2022.reads.qc	MM-HC-DNA-A-12-2023.reads.qc	MM-HC-DNA-A-4-2023.reads.qc	MM-HC-DNA-A-9-2022.reads.qc	MM-HC-DNA-O-12-2023.reads.qc	MM-HC-DNA-O-4-2023.reads.qc	MM-HC-DNA-O-9-2022.reads.qc	ZH-ED-DNA-A-12-2023.reads.qc	ZH-ED-DNA-A-4-2023.reads.qc	ZH-ED-DNA-A-9-2022.reads.qc	ZH-ED-DNA-O-12-2023.reads.qc	ZH-ED-DNA-O-4-2023.reads.qc	ZH-ED-DNA-O-9-2022.reads.qc	ZH-HC-DNA-A-12-2023.reads.qc	ZH-HC-DNA-A-4-2023.reads.qc	ZH-HC-DNA-A-9-2022.reads.qc	ZH-HC-DNA-O-12-2023.reads.qc	ZH-HC-DNA-O-4-2023.reads.qc	ZH-HC-DNA-O-9-2022.reads.qc
Q00983	0.0007224873508165	0	3.49216115876391e-05	0.0007441086210299	0.0004035004868983	0.00019344984079	0	0	5.01569609656495e-05	0	0	0	0	5.9628639524e-05	0	0	7.44518887480327e-05	0	0	0	0	0	0	0
Q8Y6I2	0	0	8.40219226168759e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YP_001477377	0.0004143078608436	7.88973346070161e-05	0.000101105198735	0.0003565434910132	0.0002751895338764	7.73806304683288e-05	0.0007422046488577	0.0008235172863887	0.0010932970248143	0.001115830870689	0.0011191704131787	0.0012034519340378	0.0002964492996052	0.0001130172778426	0.0001221229075917	0.0002020936764765	0.0001719137750842	0.0002389791801957	0.000309991671137	0.0002114266715498	0.0002865908684913	0.0001980366002062	0.0001527510514612	0.0001653623323305
YP_001563294	0.0023482855866939	0.0075131902957657	0.0021266203226218	0.0020660097656273	0.008306286311738	0.0013292437728773	0.0025526313292922	0.0021975969818158	0.0017090574073909	0.0034148825448167	0.0033044966731676	0.0011218127343655	0.0037422129331918	0.0028094123858156	0.0050584028254749	0.0035292156976055	0.0025944065959574	0.008676005717121	0.0036055591198999	0.0002635686266935	5.72978192331882e-05	0.0035137693985688	0.0003076993980768	0.0001978838285094
YP_002333394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.81199691240437e-05	0	0	3.303385461767e-05	0	0	0	0	0	0
YP_002890644	0.0344146316834473	0.016155804739366	0.0024071271442282	0.0324540723690272	0.0138917038725621	0.0031762401419691	0.0041425731009104	0.0036693539943346	0.0080853021076627	0.003870656290103	0.0062700175579606	0.0103072619319097	0.0052961645547197	0.0066636999543479	0.0013993920412511	0.0065090422721862	0.0063727179017755	0.0018121983317781	0.0152230221018779	0.0027072876148404	0.0016838030673928	0.0152699475356367	0.0012352895543231	0.0016414520180018
YP_002894485	0.0026464994406075	0.0041088097681563	0.0007575036145378	0.0028025316230468	0.0029271738660768	0.0009622620303068	0.0007059206543428	0.0006832260396066	0.0002545877505253	0.0009891865574474	0.0007612250518957	0.0002206382975945	0.0008320545563822	0.0019118988784691	0.0005757910642629	0.0006882269878766	0.0014245415301847	0.0003635624025792	0.001512075409282	0.0009242925268206	8.74860732470919e-05	0.0009636185257008	0.0002350624704163	0.0005610832717196
YP_981592	0.0004602855824923	0.0140774794127414	0.0022390174072074	0.0009185686087032	0.0195908504292388	0.0020046886101339	0.0016654747520492	0.0008045895230527	0.0002589330475844	0.0015306721246874	0.0017187568065325	0.0005847702940702	0.0022335609044582	0.002987351786983	0.0023389694415491	0.0022263685637688	0.0026327214708248	0.0043715072420651	0.001765508511262	0.0004499772522701	0.0002161596429555	0.0016211187740487	0.0005835248291827	0.0001465448588532
ZP_03552050	0.0014791079623015	0.0069887618634167	0.0026118986379659	0.0017719804965497	0.0093813078813571	0.0026273977123001	0.0011955755009458	0.0003718939859122	0.0001760985271859	0.0007730229813448	0.0006635896106383	0.0001425319747428	0.0051139255669777	0.0040232103209251	0.0076957998058036	0.0047434660758076	0.0037731680427481	0.0089660127106845	0.0031397197967088	0.001938046039896	0.0003312399476838	0.0031959051845617	0.0013840285006599	0.0004143888024517
ZP_04615639	0.0004148584579346	0.0003278810372822	0.0001367709526882	0.0005564815284002	0.0002690590571791	0.000113913624462	0.0004737603487462	0.0006385224984168	0.0005204315828225	0.0005662314121061	0.0005995008495042	0.0004653222302234	0.0003782267000441	0.0005249306069207	0.000534141782538	0.0003540351601081	0.0005289170523228	0.0006956569515675	0.0004908902930112	0.0004892521954621	0.0004094472616566	0.0005591445238324	0.0003838580926322	0.0004114330907576
